Component_ID,Lot_ID,Component_Type,Temperature_C,Iddq_0h_uA,Iddq_24h_uA,Iddq_96h_uA,Iddq_168h_uA,Leakage_0h_uA,Leakage_24h_uA,Leakage_96h_uA,Leakage_168h_uA,Delay_0h_ns,Delay_24h_ns,Delay_96h_ns,Delay_168h_ns,Iddq_Max_Limit_uA,Leakage_Max_Limit_uA,Delay_Max_Limit_ns
IC00514,LOT14,MICROCONTROLLER,128.11,9.354,9.601,9.783,10.159,4.929,5.091,5.298,5.749,9.402,9.521,9.522,9.6,50.0,50.0,30.0
IC01334,LOT14,CMOS_LOGIC,124.99,9.636,9.864,10.079,10.249,4.609,4.788,5.023,5.248,9.771,9.85,9.855,9.92,50.0,50.0,30.0
IC00919,LOT19,SRAM,126.64,9.359,9.632,10.096,10.29,5.406,5.615,5.817,5.922,10.527,10.552,10.625,10.764,50.0,50.0,30.0
IC01881,LOT01,CMOS_LOGIC,125.56,9.416,9.631,9.909,10.214,4.767,4.848,5.016,5.1,9.794,9.802,9.899,10.006,50.0,50.0,30.0
IC01240,LOT20,MICROCONTROLLER,126.7,9.703,9.987,10.331,10.502,4.7,4.99,5.099,5.304,9.42,9.516,9.634,9.778,50.0,50.0,30.0
IC01811,LOT11,SRAM,121.76,10.026,10.253,10.342,10.769,4.801,4.929,5.15,5.343,9.046,9.095,9.183,9.195,50.0,50.0,30.0
IC01011,LOT11,MICROCONTROLLER,126.75,9.558,10.091,10.972,64.072,4.935,5.177,5.455,52.882,9.427,9.483,9.626,35.744,50.0,50.0,30.0
IC00402,LOT02,SRAM,123.13,10.074,13.417,19.065,29.498,5.235,7.343,13.377,21.508,9.978,10.946,12.374,16.738,50.0,50.0,30.0
IC01138,LOT18,SRAM,125.34,9.58,10.042,10.311,10.417,4.776,4.967,5.126,5.465,10.232,10.267,10.393,10.472,50.0,50.0,30.0
IC01339,LOT19,MIXED_SIGNAL_IC,121.91,9.305,9.646,9.818,10.097,4.908,5.205,5.449,5.631,9.636,9.736,9.877,10.007,50.0,50.0,30.0
IC01796,LOT16,SRAM,125.99,9.57,9.905,10.183,10.433,4.573,4.707,4.805,5.167,9.331,9.408,9.515,9.535,50.0,50.0,30.0
