Device_ID,Time,Action,Temperature_C,Supply_Voltage_V,Observation
Device 2,10:00:00,begin,,,
Device 2,10:02:00,"Vps 3V, T=140",140.0,3.0,
Device 2,10:03:00,Vps 3.5V,,3.5,
Device 2,10:05:00,"T=180C, Vps 4V",180.0,4.0,
Device 2,10:07:00,T=220C,220.0,,
Device 2,10:08:00,Vps 4.5V,,4.5,
Device 2,10:10:00,T=240,240.0,,
Device 2,10:14:00,Vps 5V,,5.0,
Device 2,10:15:00,T=260,260.0,,The current remains around 1.8A… even as Vps increases
Device 2,10:18:00,T=280,280.0,,
Device 2,10:19:00,Vps 5.5V,,5.5,
Device 2,10:38:00,T=100,100.0,,
Device 2,10:44:00,begin,,,Device2b  1.mat
Device 2,10:47:00,"T=140, Vps 3.5V",140.0,3.5,
Device 2,10:50:00,"T=180, Vps 4.5V",180.0,4.5,
Device 2,10:51:00,T=220C,220.0,,
Device 2,10:53:00,Vps 5V,,5.0,
Device 2,10:56:00,"T=260, Vps 5.5",260.0,5.5,
Device 2,11:00:00,T=280C,280.0,,
Device 2,11:04:00,Vps 6V,,6.0,
Device 3,03:05:00,begin,,,
Device 3,03:08:00,"T=140, Vps 3V",140.0,3.0,
Device 3,03:10:00,T=180,180.0,,
Device 3,03:11:00,Vps 4V,,4.0,
Device 3,03:13:00,"Vps 4.5V, T=220",220.0,4.5,
Device 3,03:15:00,"T=240, Vps 5V",240.0,5.0,
Device 3,03:16:00,T=260,260.0,,
Device 3,03:18:00,"T=280, Vps 5.5V",280.0,5.5,temp wave becoming very sluggish…does not get to the high temp…gets close and just slowly dies down.
Device 3,03:30:00,Vps 6V,,6.0,
Device 3,03:38:00,T=100,100.0,,~20mins aging
Device 3,03:42:00,begin,,,Device3b  1.mat
Device 3,03:45:00,T=140,140.0,,
Device 3,03:45:00,Vps 3.5V,,3.5,
Device 3,03:48:00,T=180,180.0,,
Device 3,03:49:00,Vps 4V,,4.0,
Device 3,03:51:00,"T=220, Vps 4.5V",220.0,4.5,
Device 3,03:53:00,Vps 5V,,5.0,
Device 3,03:56:00,T=240,240.0,,
Device 3,03:59:00,T=260,260.0,,
Device 3,04:01:00,T=280,280.0,,
Device 4,04:15:00,begin,,,
Device 4,04:17:00,T=140,140.0,,
Device 4,04:18:00,Vps 3V,,3.0,
Device 4,04:19:00,Vps 3.5V,,3.5,
Device 4,04:21:00,T=180,180.0,,
Device 4,04:23:00,Vps 4V,,4.0,
Device 4,04:25:00,"T=220, Vps 4.5V",220.0,4.5,
Device 4,04:27:00,T=240,240.0,,
Device 4,04:28:00,Vps 5V,,5.0,
Device 4,04:30:00,T=260C,260.0,,
Device 4,04:33:00,T=265C,265.0,,
Device 4,04:43:00,Vps 5.5V,,5.5,
Device 4,04:53:00,T=100C,100.0,,
Device 4,04:56:00,end,,,
Device 4,05:10:00,begin,,,Device4b  1.mat
Device 4,05:12:00,"T=140, Vps 3.5V",140.0,3.5,
Device 4,05:14:00,T=180,180.0,,
Device 4,05:16:00,Vps 4V,,4.0,
Device 4,05:18:00,"T=220, Vps 4.5V",220.0,4.5,
Device 4,05:23:00,"T=240, Vps 5V",240.0,5.0,
Device 4,05:25:00,T=260,260.0,,
Device 4,05:26:00,Vps 5.5V,,5.5,
Device 4,05:29:00,T=270,270.0,,
Device 4,05:56:00,Vps 5.9V,,5.9,
Device 4,06:01:00,Vps 6V,,6.0,
Device 5,12:15:00,begin,,,
Device 5,12:16:00,"T=140, Vps 3V",140.0,3.0,
Device 5,12:20:00,"T=180C, Vps 3.5V",180.0,3.5,
Device 5,12:24:00,"T=220C, Vps 4V",220.0,4.0,
Device 5,12:25:00,Vps 4.5V,,4.5,
Device 5,12:27:00,T=260,260.0,,
Device 5,12:28:00,Vps 5V,,5.0,
Device 5,12:30:00,T=280,280.0,,
Device 5,12:33:00,Vps 5.5V,,5.5,
Device 5,12:40:00,Vps 6V,,6.0,
Device 5,12:50:00,T=100,100.0,,~20mins aging
Device 5,12:54:00,end,,,
